"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4381.229,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4565.873,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4790.513,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5005.316,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4944.771,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5139.924,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5270.235,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5395.106,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4526.597,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4666.226,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",4832.265,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",4943.537,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4550.831,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",4698.016,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",4811.79,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",4974.33,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2015",2545.511,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2627.698,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2850.406,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3057.615,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2015",4674.496,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4774.269,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5024.522,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5298.821,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2015",3990.642,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4023.443,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4126.719,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4228.211,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4675.804,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4844.017,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",4930.776,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",4964.71,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2015",5291.281,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5550.175,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",5847.676,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",5986.43,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2015",2100.338,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2198.044,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2017",2207.064,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2238.171,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2015",1891.727,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2016",1965.018,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2017",1996.449,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2046.777,"P"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2015",3735.245,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2016",3916.333,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2017",4153.873,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2018",4349.094,"E"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2015",4301.85,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2016",4470.748,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2017",4631.116,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4915.493,"E"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2015",3129.27,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3264.368,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3376.315,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3427.807,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2015",4516.862,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2016",4512.845,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2017",4629.559,"P"
